"Name","Image","Expansion","Variation","Era","Origin","Origin Style","Shot Type","Vibe","Type","","Brains","Brawn","Tongue","Hands","Attack","Defense","Description","Effect","","Action","Backdrop Vibe","Backdrop","Artist","Artist Prompt","","Prompt","Link","Image URL","ID","","","Brains Word","Brawn Word","Tongue Word","Hands Word","","","",""
"Rustflea","","","","High Ages","Rostian Army","rust-volcanic bamboo-dreg","over the shoulder view","sand","giant flea","","0","1","0","0","Light","Light","A connoisseur of metals.","","","","mechanical","crevasse","Greep","octane render, Final Fantasy XIV, Subnautica, Jojo's Bizarre Adventure, Final Fantasy XIV, collatz fractal","","a  rust-volcanic bamboo-dreg sand giant flea  in a mechanical crevasse, moronic, weak, repulsive, useless, octane render, Final Fantasy XIV, Subnautica, Jojo's Bizarre Adventure, Final Fantasy XIV, collatz fractal --dd","https://www.midjourney.com/app/jobs/941c2cd8-c911-4a87-9052-09d6c3a57795/","https://media.discordapp.net/attachments/1010678628352262184/1120326244102307921/acrownofmoths_a_rust-volcanic_bamboo-dreg_sand_giant_flea_in_a__941c2cd8-c911-4a87-9052-09d6c3a57795.png","941c2cd8-c911-4a87-9052-09d6c3a57795","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","moronic","weak","repulsive","useless","","","",""
"Knave Prince","","","","Age of Resurrection","Order of Synthesis","knight-god dimension-synthesis","bird's eye view","horrid","fairy","","3","2","3","0","Light","Light","","","","walking","mythical","wall","Avery Rukyo","Atari style, by Eugenio Recuenco, by Alex Pardee, World of Warcraft, rococo","","a  knight-god dimension-synthesis horrid fairy walking in a mythical wall, genius, strong, charismatic, useless, Atari style, by Eugenio Recuenco, by Alex Pardee, World of Warcraft, rococo --dd","https://www.midjourney.com/app/jobs/19b5cafc-8f37-4f17-b61b-c767a98c57f7/","https://media.discordapp.net/attachments/1010832809402830908/1109369704826548304/motte_a_birds_eye_view_of_a_knight-god_dimension-synthesis_horr_a9f88b81-a1bd-4c9b-b92e-b19058e54467.png","19b5cafc-8f37-4f17-b61b-c767a98c57f7","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","genius","strong","charismatic","useless","","","",""
"The Scavenger","","","","Age of Resurrection","Tifn Scavenger","dark-abyss rust-labyrinth","","armed","scavenger","","2","2","0","3","Heavy","Medium","","","","","pitch black","scaffolding","Fitterwick","macro lens, Victorian, flat color, 3D, Weta Workshop, Punkrave","","a  dark-abyss rust-labyrinth armed scavenger  in a pitch black scaffolding, smart, strong, repulsive, skilled, macro lens, Victorian, flat color, 3D, Weta Workshop, Punkrave --dd","https://www.midjourney.com/app/jobs/ed478c01-21a1-44fb-9870-4b2aad50bf7d/","https://cdn.midjourney.com/e3627cee-64b6-4ad8-99d5-adb25875a2a4/0_0.webp","ed478c01-21a1-44fb-9870-4b2aad50bf7d","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","smart","strong","repulsive","skilled","","","",""
"Eternal Diver","","","","Age of Resurrection","Kelpers","kelp-core post-apocalypse","medium shot","undead","barbarian","","0","2","0","3","Medium","Heavy","","","","laughing","flooded","reactor","Zad Dermont","by Lars von Trier, epic, stained glass, stippling, dadaism, by Pendleton Ward, in the style of The Binding of Isaac, thick line illustration","","a  kelp-core post-apocalypse undead barbarian laughing in a flooded reactor, moronic, strong, repulsive, skilled, by Lars von Trier, epic, stained glass, stippling, dadaism, by Pendleton Ward, in the style of The Binding of Isaac, thick line illustration --dd","https://www.midjourney.com/app/jobs/9c77dba5-4a60-4048-936b-063def7f5208/","https://cdn.midjourney.com/7e966d16-99e1-4784-983e-4d04995e6972/0_2.png","9c77dba5-4a60-4048-936b-063def7f5208","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","moronic","strong","repulsive","skilled","","","",""
"Octoghast","","","","Age of Resurrection","Kelpers","kelp-core post-apocalypse","extreme long shot","flying","demogorgon","","2","2","1","0","Heavy","Heavy","","","","suffering","tall","dome","Ponder","art by Loish, rough draft, sumi-e, Darkest Dungeon, raytracing","","a  kelp-core post-apocalypse flying demogorgon suffering in a tall dome, smart, strong, embarrassing, useless, art by Loish, rough draft, sumi-e, Darkest Dungeon, raytracing --dd","https://www.midjourney.com/app/jobs/601290f5-282f-425e-98b9-f7d5f4ac760e/","https://cdn.midjourney.com/2df52453-c60e-4ae1-a400-45a5d99a889e/0_2.png","601290f5-282f-425e-98b9-f7d5f4ac760e","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","smart","strong","embarrassing","useless","","","",""
"Kelp Dude","","","","Age of Resurrection","Tirn","sea-trash","close-up","stealthy","treant","","0","1","1","1","Light","Medium","","","","relaxing","peaceful","kelp forest","Plik","rotoscoped, by Edvard Munch, Homestuck, by Rob Zombie, pen","","a  sea-trash stealthy treant relaxing in a peaceful kelp forest, moronic, weak, embarrassing, clumsy, rotoscoped, by Edvard Munch, Homestuck, by Rob Zombie, pen --dd","https://www.midjourney.com/app/jobs/44240b05-fedf-4695-a1ae-35ec38ae6948/","https://media.discordapp.net/attachments/1010832809402830908/1124476905849094184/acrownofmoths_close-up_of_a_sea-trash_stealthy_treant_in_a_peac_44240b05-fedf-4695-a1ae-35ec38ae6948.png","44240b05-fedf-4695-a1ae-35ec38ae6948","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","moronic","weak","embarrassing","clumsy","","","",""
"Sharktiger","","","","Age of Resurrection","Tirn","sea-trash","medium shot","marine","tiger","","3","2","0","0","Heavy","Medium","","","","swimming","deceptive","abyss","Hopscotch","by Alex Pardee, Atari style, by Egon Schiele, k-drama, by Sebastian Schrader, flat shaded, by Mark Bradford, high definition","","a  sea-trash marine tiger swimming in a deceptive abyss, genius, strong, repulsive, useless, by Alex Pardee, Atari style, by Egon Schiele, k-drama, by Sebastian Schrader, flat shaded, by Mark Bradford, high definition --dd","https://www.midjourney.com/app/jobs/710ff911-f808-467e-8b6d-da8659d06e91/","https://media.discordapp.net/attachments/1021367214001098843/1130107738437988383/acrownofmoths_a_sea-trash_marine_underwater_aquatic_beast_shape_710ff911-f808-467e-8b6d-da8659d06e91.png","710ff911-f808-467e-8b6d-da8659d06e91","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","genius","strong","repulsive","useless","","","",""
"The One Who Prays (Steward)","","","","Age of Resurrection","Heart of Noo","swirl-chrome goth-baroque","worm's-eye view","blue and silver","giant squid","","3","3","0","1","Heavy","Medium","","","","floating","pitch black","deep sea","Clem Perlus","by Don Bluth, Body Worlds, Shonen Jump, by Femke Hiemstra, cosmic horror, comic art","","a  swirl-chrome goth-baroque blue and silver giant squid floating in a pitch black deep sea, genius, powerful, repulsive, clumsy, by Don Bluth, Body Worlds, Shonen Jump, by Femke Hiemstra, cosmic horror, comic art --dd","https://www.midjourney.com/app/jobs/926aa9c4-8515-4ce6-9bdb-6339c702eca6/","https://media.discordapp.net/attachments/1010678628352262184/1115034582333530162/motte_a_worms-eye_view_of_a_swirl-chrome_goth-baroque_blue_and__926aa9c4-8515-4ce6-9bdb-6339c702eca6.png","926aa9c4-8515-4ce6-9bdb-6339c702eca6","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","genius","powerful","repulsive","clumsy","","","",""
"The One Who Prays (Walker)","","","","Age of Resurrection","Heart of Noo","swirl-chrome goth-baroque","over the shoulder view","blue and silver","person in sci-fi armor","","3","1","3","2","Light","Medium","","","","standing","indignant","glacier","Clem Perlus","by Don Bluth, Body Worlds, Shonen Jump, by Femke Hiemstra, cosmic horror, comic art","","a  swirl-chrome goth-baroque blue and silver person in sci-fi armor standing in a indignant glacier, genius, weak, charismatic, crafty, by Don Bluth, Body Worlds, Shonen Jump, by Femke Hiemstra, cosmic horror, comic art --dd","https://www.midjourney.com/app/jobs/f71abd5b-e16c-42da-8e99-6eaa14f095cc/","https://media.discordapp.net/attachments/1010678628352262184/1115082971502886952/motte_a_medium_view_of_a_swirlchrome_goth-baroque_blue_and_silv_f71abd5b-e16c-42da-8e99-6eaa14f095cc.png","f71abd5b-e16c-42da-8e99-6eaa14f095cc","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","genius","weak","charismatic","crafty","","","",""
"The One Who Knows (Human Form)","","","","Age of Resurrection","Heart of Noo","swirl-chrome goth-baroque","low angle shot","turquoise and gold","person in sci-fi armor","","3","2","2","1","Light","Light","","","","sitting","busy","forum","Sappo Selizo","Metamorphosis of Narcissus, by Ralph Bakshi, IMAX, intricate, by Frank Miller","","a  swirl-chrome goth-baroque turquoise and gold person in sci-fi armor sitting in a busy forum, genius, strong, eloquent, clumsy, Metamorphosis of Narcissus, by Ralph Bakshi, IMAX, intricate, by Frank Miller --dd","https://www.midjourney.com/app/jobs/7a27502e-d42b-40d0-a5a5-8b84877f1b1d/","https://cdn.midjourney.com/c9a5c95e-625e-4dac-acac-9fc926acad70/0_0.png","7a27502e-d42b-40d0-a5a5-8b84877f1b1d","","kdjvkdjfkdjkfjdkfjdkfjdkfjdkjfdfjdjkfdjdkjfdfdfdfd klvldkldklfdfgfgfgfgfgfgfcvcd","genius","strong","eloquent","clumsy","","","",""
